"Subject","ConditionLR","ACC_m"
17,"HL_R",0.96
17,"HL_L",0.9
17,"LH_R",0.98
17,"LH_L",0.92
17,"LL_R",0.96
17,"LL_L",0.86
17,"XX",0.81
18,"HH_R",1
18,"HH_L",0.96
18,"HL_R",0.96
18,"HL_L",1
18,"LH_R",0.96
18,"LH_L",1
18,"LL_R",0.98
18,"LL_L",0.98
18,"XX",0.98
21,"HH_R",1
21,"HH_L",1
21,"HL_R",1
21,"HL_L",0.98
21,"LH_R",0.98
21,"LH_L",1
21,"LL_R",1
21,"LL_L",0.98
21,"XX",1
22,"HH_R",1
22,"HH_L",1
22,"HL_R",1
22,"HL_L",1
22,"LH_R",1
22,"LH_L",1
22,"LL_R",1
22,"LL_L",1
22,"XX",0.98
23,"HH_R",0.98
23,"HH_L",0.96
23,"HL_R",0.98
23,"HL_L",1
23,"LH_R",1
23,"LH_L",0.96
23,"LL_R",1
23,"LL_L",0.96
23,"XX",0.99
24,"HH_R",1
24,"HH_L",1
24,"HL_R",1
24,"HL_L",1
24,"LH_R",1
24,"LH_L",1
24,"LL_R",1
24,"LL_L",1
24,"XX",0.98
25,"HH_R",0.98
25,"HH_L",1
25,"HL_R",1
25,"HL_L",0.94
25,"LH_R",1
25,"LH_L",0.98
25,"LL_R",0.94
25,"LL_L",0.96
25,"XX",0.98
26,"HH_R",1
26,"HH_L",0.98
26,"HL_R",1
26,"HL_L",1
26,"LH_R",1
26,"LH_L",0.96
26,"LL_R",1
26,"LL_L",0.98
26,"XX",0.98
27,"HH_R",1
27,"HH_L",1
27,"HL_R",1
27,"HL_L",1
27,"LH_R",1
27,"LH_L",1
27,"LL_R",0.98
27,"LL_L",1
27,"XX",0.98
28,"HH_R",0.92
28,"HH_L",0.96
28,"HL_R",0.98
28,"HL_L",0.94
28,"LH_R",0.96
28,"LH_L",0.96
28,"LL_R",1
28,"LL_L",0.96
28,"XX",0.88
29,"HH_R",0.98
29,"HH_L",0.98
29,"HL_R",1
29,"HL_L",1
29,"LH_R",0.98
29,"LH_L",1
29,"LL_R",1
29,"LL_L",1
29,"XX",0.98
30,"HH_R",1
30,"HH_L",1
30,"HL_R",1
30,"HL_L",0.98
30,"LH_R",1
30,"LH_L",1
30,"LL_R",1
30,"LL_L",0.98
30,"XX",0.99
31,"HH_R",0.96
31,"HH_L",1
31,"HL_R",0.96
31,"HL_L",0.96
31,"LH_R",1
31,"LH_L",1
31,"LL_R",0.96
31,"LL_L",1
31,"XX",0.96
32,"HH_R",0.98
32,"HH_L",0.98
32,"HL_R",1
32,"HL_L",0.98
32,"LH_R",0.98
32,"LH_L",0.98
32,"LL_R",0.92
32,"LL_L",1
32,"XX",0.97
